id,context,question,reponse_attendue,reponse_obtenue,context_idx
11,"ers : • Formation de tous les nouveaux managers au recrutement inclusif ; • Événements thématiques, notamment lors de la SEEPH, d’ Octobre Rose , de Movember ou encore de la Journée mondiale de la santé mentale. Par exemple, voici le programme de la SEEPH 2024 : Pour le programme de la SEEPH 2023, consultez notre article dédié. Document Restreint - Interne & Partenaire Engagement 4 : Soutenir le milieu protégé et adapté (STPA) Nous favorisons systématiquement la collaboration avec des ESAT, Entreprises Adaptées (EA) et Travailleurs Indépendants Handicapés (TIH). • Nous travaillons avec l’ESAT Elise pour la gestion des déchets, et l’ESAT Antilope pour nos cartes de visite ; • Depuis 2023, nous collaborons avec Biscornu pour des prestations de traiteur et utilisons la plateforme Linklusion pour identifier des TIH pour nos clients. Engagement 5 : Soutenir les associations et leurs bénéficia",Quelle collaboration a été initiée en 2023 par l'entreprise pour des prestations de traiteur?,"Depuis 2023, l'entreprise collabore avec Biscornu pour des prestations de traiteur.",,10
12,"e traiteur et utilisons la plateforme Linklusion pour identifier des TIH pour nos clients. Engagement 5 : Soutenir les associations et leurs bénéficiaires Avec notre programme SoliDav, nos salarié(e)s peuvent consacrer jusqu’à 3 jours par an (et de manière illimitée en intercontrat) à des missions solidaires. Ces actions peuvent inclure : • Accompagnement de jeune en situation de handicap avec l’ Association Guy Renard ; • Participation au DuoDay ; • Appui logistique lors d’initiatives comme la course Enfants sans Cancer ; • Mise à disposition de ses compétences lors du hackathon TOM France. Nous proposons également du mécénat de compétences longue durée , comme notre collaboration avec le Téléthon en 2024 sur un projet de gouvernance en cybersécurité. Enfin, nous reversons chaque année 1/1000 de notre chiffre d’affaires à des structures d’intérêt général, notamment des associations liée",Quelle plateforme utilisons-nous pour identifier des TIH pour nos clients ?,Nous utilisons la plateforme Linklusion.,,11
13,"bersécurité. Enfin, nous reversons chaque année 1/1000 de notre chiffre d’affaires à des structures d’intérêt général, notamment des associations liées au handicap, comme le Téléthon que nous soutenons depuis des années. La mixité et l’égalité professionnelle entre les femmes et les hommes De quoi s’agit-il ? La mixité et l'égalité professionnelle entre les hommes et les femmes représentent des enjeux essentiels pour le Groupe. Il ne s'agit pas seulement de répondre à nos obligations légales actuelles (comme la publication de notre Index d’égalité femmes-hommes) ou futures (loi Rixain), mais avant tout d'une question de justice sociale et de performance. Précision : chez Davidson nous ne parlons pas de féminisation mais de mixité ! • Féminisation : augmentation du nombre de femmes dans un environnement majoritairement masculin ; • Mixité : recherche d'un équilibre relatif entre femmes et",Combien d'argent le groupe reverse-t-il chaque année à des structures d'intérêt général ?,Le groupe reverse chaque année 1/1000 de son chiffre d’affaires à des structures d’intérêt général.,,12
14,"sation : augmentation du nombre de femmes dans un environnement majoritairement masculin ; • Mixité : recherche d'un équilibre relatif entre femmes et hommes dans un environnement donné. Document Restreint - Interne & Partenaire Nous ne pensons donc pas que les hommes sont la cause du problème des femmes, mais que les codes masculins (voire virilistes) sont la cause du problème de certaines femmes et de certains hommes. La lutte contre les violences sexistes et sexuelles, dont le sexisme ordinaire est la forme la plus courante, est donc un sujet qui nous concerne toutes et tous ! Quelques actions concrètes Elles s’inscrivent dans les 5 engagements suivants : Engagement n°1 : être exemplaires et volontaires dans nos pratiques de recrutement pour favoriser la mixité Pour ce faire, nous avons mis en place des pratiques exemplaires et volontaristes pour le recrutement inclusif : • Descriptio",Quelle est l'une des actions concrètes prises pour favoriser la mixité dans le recrutement?,Des pratiques exemplaires et volontaristes pour le recrutement inclusif ont été mises en place.,,13
15,"pour favoriser la mixité Pour ce faire, nous avons mis en place des pratiques exemplaires et volontaristes pour le recrutement inclusif : • Descriptions de postes inclusives , visant à attirer aussi bien les candidatures masculines que féminines, et à les traiter de manière équivalente ; • Formation de tous nos nouveaux managers sont formés au recrutement inclusif dès leur arrivée en poste, afin de prendre conscience de leurs biais et stéréotypes, et ainsi lutter contre eux ; • Nous appliquons une tolérance zéro envers toute forme de discrimination et avons mis en place un formulaire de contact permettant aux parties prenantes externes, notamment les candidat(e)s, de signaler anonymement toute situation problématique. Engagement n°2 : assurer une égalité salariale stricte et transparente Nous nous engageons à garantir l’égalité salariale pour des postes équivalents et à mettre en œuvre t",Quelles mesures ont été prises pour favoriser un recrutement inclusif selon le texte?,"Le texte mentionne la création de descriptions de postes inclusives, la formation des nouveaux managers au recrutement inclusif, et la mise en place d'un formulaire de contact pour signaler les discriminations.",,14
16,"er une égalité salariale stricte et transparente Nous nous engageons à garantir l’égalité salariale pour des postes équivalents et à mettre en œuvre tous les moyens nécessaires pour que toutes nos sociétés obtiennent un score d’au moins 90/100 sur l’index égalité femmes-hommes d’ici 2025. Pour accéder à notre index , c’est par ici => https://www.davidson.fr/index-de-legalite- salariale-femmes-hommes Nous avons également amélioré les conditions de travail de nos collaboratrices en : - Accordant 1 journée de congés supplémentaires par mois pour nos collaboratrices souffrantes d’endométriose ou de fibromes utérins ; - Mettant à disposition des protections hygiéniques gratuites dans les toilettes de notre site principal via notre partenaire Marguerite & Cie. Document Restreint - Interne & Partenaire Engagement n°3 : sensibiliser l’ensemble de nos salarié(e)s aux enjeux de la mixité et à la l",Quel est l'objectif de score que les sociétés visent à atteindre sur l'index égalité femmes-hommes d'ici 2025 ?,Les sociétés visent à obtenir un score d'au moins 90/100 sur l'index égalité femmes-hommes d'ici 2025.,,15
17,"guerite & Cie. Document Restreint - Interne & Partenaire Engagement n°3 : sensibiliser l’ensemble de nos salarié(e)s aux enjeux de la mixité et à la lutte contre les violences sexistes et sexuelles (VSS) Nous renforçons nos actions de sensibilisation à travers : - Sensibilisation de l’ensemble de nos collaborateurs et collaboratrices au sexisme ordinaire : le staff au travers d’atelier en réalité virtuelle et les consultant(e)s via cette même expérience adaptée au format sur écran ; - Création d’un chantier égalité professionnelle ayant notamment conduit à la création d’un Think Tank nommé « Dav Act » dont l’un des sous-groupes porte sur les rôles modèles ; - Temps forts réguliers, notamment lors de Semaine de lutte pour les droits des femmes (SLDF), dont le programme 2024 se trouve ci-dessous : Engagement n°4 : favoriser l’équilibre des temps de vie, notamment en soutenant les parents e",Quelle initiative a été mise en place par Guerite & Cie pour sensibiliser les collaborateurs au sexisme ordinaire?,Guerite & Cie organise des ateliers en réalité virtuelle pour le staff et une expérience adaptée au format sur écran pour les consultant(e)s.,,16
18,"es (SLDF), dont le programme 2024 se trouve ci-dessous : Engagement n°4 : favoriser l’équilibre des temps de vie, notamment en soutenant les parents et les aidants Nous considérons que l’équilibre entre vie professionnelle et personnelle est essentiel, c’est pourquoi : - Nos consultant(e)s évaluent chaque mois leur satisfaction en matière d’équilibre vie professionnelle/vie personnelle. En cas de score négatif pendant trois mois consécutifs, une alerte est immédiatement envoyée à la direction générale - La parentalité n’étant pas un enjeu lié au genre ou à l’orientation sexuelle, nous avons mis à jour notre livret d’accueil pour inclure la notion de « co-parent » Document Restreint - Interne & Partenaire - Nous soutenons tous les parents en réservant une quarantaine de berceaux via le réseau Babilou. - Nous communiquons également sur les droits liés à l’aidance et avons établi un partena",Quel est l'engagement n°4 du programme 2024 des SLDF concernant l'équilibre des temps de vie ?,"L'engagement n°4 du programme 2024 des SLDF est de favoriser l'équilibre des temps de vie, notamment en soutenant les parents et les aidants.",,17
19," réservant une quarantaine de berceaux via le réseau Babilou. - Nous communiquons également sur les droits liés à l’aidance et avons établi un partenariat avec la plateforme des aidants. Engagement n°5 : soutenir les associations liées à la lutte contre les violences sexistes et sexuelles et à la promotion de la mixité Avec notre programme SoliDav, nos salarié(e)s peuvent consacrer jusqu’à 3 jours par an (et de manière illimitée en intercontrat) à des missions solidaires. Ces actions peuvent inclure : • Accompagnement de femmes de plus de 45 ans dans leur insertion professionnelle avec l’association Force Femmes • Intervention devant des jeunes femmes pour parler de son métier avec Social Builder • Participation à des collectes de protections hygiéniques avec Règles Elémentaires • Conduite d’un « Camping-Care », un camion pour le soin des femmes sans abris De plus, chaque année, nous rev",Quel est le programme qui permet aux salarié(e)s de s'engager dans des missions solidaires?,Le programme s'appelle SoliDav et permet aux salarié(e)s de consacrer jusqu'à 3 jours par an à des missions solidaires.,,18
20,"ns hygiéniques avec Règles Elémentaires • Conduite d’un « Camping-Care », un camion pour le soin des femmes sans abris De plus, chaque année, nous reversons 0,1% de notre chiffre d’affaires à des structures d’intérêt général, dont certaines sont des associations luttant pour les droits des femmes, telles que la Fondation des Femmes, que nous soutenons depuis des années. Au-delà de ces priorités, Davidson agit également sur d’autres fronts, comme : • L’inclusion des personnes seniors : nous veillons à valoriser leur expérience et leur expertise. • Le soutien à la communauté LGBT+ : en mai 2024, nous avons organisé des sessions de sensibilisation et de formation en partenariat avec l’association L’Autre Cercle. Ces actions s’inscrivent dans une démarche globale visant à faire de Davidson une entreprise où chaque individu se sent respecté, valorisé, et pleinement intégré. Document Restreint",Quelle proportion du chiffre d'affaires de Davidson est reversée chaque année à des structures d'intérêt général?,"Davidson reverse chaque année 0,1% de son chiffre d'affaires à des structures d'intérêt général.",,19
21,"ne démarche globale visant à faire de Davidson une entreprise où chaque individu se sent respecté, valorisé, et pleinement intégré. Document Restreint - Interne & Partenaire Un impact positif sur la société De quoi s'agit-il ? Davidson reconnaît son rôle au sein d’un écosystème favorable et souhaite assumer sa part de responsabilité en soutenant activement des structures d’intérêt général, tant sur le plan financier qu'humain. Quelques actions concrètes : Engagement financier Davidson s’engage à reverser 1/1000 de son Chiffre d’Affaires à des structures d’intérêt général pour des projets sociaux/sociétaux. À travers cet engagement, nous cherchons à avoir un impact positif sur notre écosystème en soutenant des causes qui nous sont chères. Cela inclut, par exemple : - Des projets d’aide d'urgence - comme pour soutenir les enfants impactés par les conflits avec Unicef - Des initiatives d’in",À quel type de structures Davidson s'engage-t-il à reverser une part de son chiffre d'affaires ?,Davidson s'engage à reverser 1/1000 de son chiffre d'affaires à des structures d’intérêt général pour des projets sociaux/sociétaux.,,20
22,"la inclut, par exemple : - Des projets d’aide d'urgence - comme pour soutenir les enfants impactés par les conflits avec Unicef - Des initiatives d’insertion professionnelle pour des personnes éloignées du marché du travail – comme notre partenariat avec Collectif Sports - Le soutien à la recherche liées à des maladies – comme avec le Téléthon ou les Invincibles - La participation à des projets d’associations locales – comme avec le financement d’un triporteur de 1 lettre 1 sourire, qui sera garé dans notre parking de Boulogne- Billancourt et permettra à des ainé(e)s de pouvoir être transporté(e)s hors de leur EHPAD L’implication de nos collaborateurs dans les décisions étant essentielle, nous leur offrons la possibilité de participer à l'attribution d'une partie de ces fonds. Les associations bénéficiaires sont choisies à travers un appel à projets ouvert aux structures externes, suivi ",Comment les collaborateurs sont-ils impliqués dans les décisions de distribution des fonds ?,Les collaborateurs ont la possibilité de participer à l'attribution d'une partie des fonds.,,21
23,"ttribution d'une partie de ces fonds. Les associations bénéficiaires sont choisies à travers un appel à projets ouvert aux structures externes, suivi d’un processus de vote interne. Pour qu’une association puisse soumettre un projet, il faut qu’elle respecte les critères d’éligibilité suivants : - Etre reconnue d’intérêt général (loi 1901 ou d’utilité publique) - Contribuer à l’un des 17 objectifs de développement durable des Nations Unies - Avoir un impact local, c’est-à-dire situé à moins de 80km d’un de nos sites - Pouvoir présenter des résultats mesurables sous un an - Ne pas être une organisation politique, syndicale, ou religieuse, une association de parents d’élèves ni une structure exclusivement sportive. Document Restreint - Interne & Partenaire Mécénat de compétences et bénévolat Davidson s'engage à soutenir l'implication personnelle de ses collaborateurs et collaboratrices dan",Quels sont les critères d'éligibilité pour qu'une association puisse soumettre un projet lors de l'appel à projets mentionné dans le texte?,"L'association doit être reconnue d'intérêt général, contribuer à l'un des 17 objectifs de développement durable de l'ONU, avoir un impact local, présenter des résultats mesurables sous un an, et ne pas être une organisation politique, syndicale, religieuse, une association de parents d'élèves ou exclusivement sportive.",,22
24,"e & Partenaire Mécénat de compétences et bénévolat Davidson s'engage à soutenir l'implication personnelle de ses collaborateurs et collaboratrices dans des projets à impact social et sociétal. Pour cela, nous avons mis en place plusieurs dispositifs, tels que des missions de compétences de moyenne durée pour des associations d’intérêt général. Par exemple, en 2024, nous avons apporté notre expertise en cybersécurité aux associations Planète Urgence et Téléthon. De plus, notre programme d'engagement solidaire, SoliDav, permet à nos collaborateurs de s'impliquer concrètement : De quoi parle-t-on exactement ? SoliDav est notre programme d’engagement solidaire destiné aux collaborateurs et collaboratrices de Davidson. Il vise à créer des liens entre des associations ayant des besoins spécifiques et nos salarié·es, leur permettant de consacrer jusqu’à 3 jours par an de leur temps de travail à",Quel est l'objectif du programme SoliDav de Davidson ?,"SoliDav vise à créer des liens entre des associations ayant des besoins spécifiques et les salarié·es de Davidson, leur permettant de consacrer jusqu'à 3 jours par an de leur temps de travail à des projets d'engagement solidaire.",,23
25,"entre des associations ayant des besoins spécifiques et nos salarié·es, leur permettant de consacrer jusqu’à 3 jours par an de leur temps de travail à des missions d’intérêt général, et de manière illimitée pendant leurs périodes d’intercontrat, à proximité de leur lieu de travail. N’hésitez pas à en profiter lors de vos périodes d'IC ! Trois types d’actions… ▪ Les missions « coup de pouce » : elles n’ont pas de lien direct avec les compétences professionnelles. Par exemple, donner son sang ou ramasser des déchets ; ▪ Les missions « compétence » : elles font appels aux acquis pro/perso et nécessitent un degré d’expertise dans le domaine. Par exemple, faire passer une simulation d’entretien de recrutement à un jeune ou jouer de la musique lors d’un évènement. ▪ Les missions « parrainage/marrainage » : sont des actions récurrentes permettant d’accompagner une personne en situation de fragi",Quels sont les trois types d'actions proposées aux salariés dans le cadre de missions d'intérêt général ?,"Les trois types d'actions proposées sont les missions ""coup de pouce"", les missions ""compétence"", et les missions ""parrainage/marrainage"".",,24
26,"rs d’un évènement. ▪ Les missions « parrainage/marrainage » : sont des actions récurrentes permettant d’accompagner une personne en situation de fragilité sociale. Par exemple, accompagner une personne réfugiée pendant 6 mois dans son projet professionnelle ou aider un enfant à faire ses devoir s régulièrement. …et encore bien d’autres formats ! SoliDav propose diverses actions de sensibilisation aux enjeux environnementaux, sociaux et sociétaux. Certaines mènent à des formations internes (ex. : « Atelier sur les enjeux planétaires »), d’autres sont animées par nos associations partenaires (ex. : « Réagir face au harcèlement de rue », « Fruits et légumes de saison », « Trier ses déchets », etc.). Nous organisons également régulièrement des collectes d’objets pour des associations partenaires. Sur notre site de Boulogne-Billancourt nous avons même dédié un espace à Document Restreint - In","Quelles types d'actions propose SoliDav pour sensibiliser aux enjeux environnementaux, sociaux et sociétaux?","SoliDav propose des actions de sensibilisation qui peuvent inclure des formations internes comme l'« Atelier sur les enjeux planétaires » et des ateliers animés par des associations partenaires tels que « Réagir face au harcèlement de rue », « Fruits et légumes de saison » et « Trier ses déchets ».",,25
27,"collectes d’objets pour des associations partenaires. Sur notre site de Boulogne-Billancourt nous avons même dédié un espace à Document Restreint - Interne & Partenaire cet usage, nommé « Ressourcerie », dans lequel nous organisons des collectes d’objets tous les mois. Par exemple, en 2024 nous avons collecté des vêtements pour Emmaüs défi, des jouets pour Rejoué, des livres pour Bibliothèque s sans frontière, d u matériel informatique pour Paratonnerre, des vêtements de sport pour Kabubu, des fournitures scolaires pour les Apprentis d’ Auteuil et aussi des boites à chaussure rempli de petits présents pour que l’association des Restos du Cœur puisse les distribuer à des personnes dans la rue le soir de Noël ! Associations, vous avez des besoins pour lesquels nos salarié.e.s pourraient vous aider ? 1. Inscrivez votre asso sur ce formulaire. Sélectionnez “Partenaire avec une entreprise “ e",Quelle association a reçu des vêtements collectés en 2024 à Boulogne-Billancourt ?,Emmaüs défi a reçu des vêtements collectés en 2024.,,26
28,"oins pour lesquels nos salarié.e.s pourraient vous aider ? 1. Inscrivez votre asso sur ce formulaire. Sélectionnez “Partenaire avec une entreprise “ et précisez « Davidson » comme entreprise ; 2. Une fois votre demande validée, vous recevrez un mail d'activation de la part de hello@wenabi.com ; 3. Connectez-vous sur wenabi.com, complétez le profil de votre association et crée votre première mission. Pour toute tes questions sur l’outil ou pour créer des accès supplémentaires à tes collègues, vous pouvez envoyer une demande à contact@wenabi.com.",Quelle entreprise doit être précisée lors de l'inscription de l'association sur le formulaire ?,L'entreprise à préciser est « Davidson ».,,27
